路線名,石勝線,会社名,JR北海道,区分,幹線,区間,南千歳,〜,新得,,,,,,
駅名,よみ,英語,dir1(東),営業キロ,dir2(西),営業キロ,dir3(南),営業キロ,dir4(北),営業キロ,dir5(その他),営業キロ,特定都市フラグ,特定都市,特定起点
南千歳,みなみちとせ,,追分,17.6,新千歳空港,2.6,植苗,12,千歳,3,,,0,,
追分,おいわけ,,川端,9.4,南千歳,17.6,安平,6.8,三川,8,,,0,,
川端,かわばた,,滝ノ上,8.8,追分,9.4,,,,,,,0,,
滝ノ上,たきのうえ,,新夕張,7.2,川端,8.8,,,,,,,0,,
新夕張,しんゆうばり,,占冠,34.3,滝ノ上,7.2,,,,,,,0,,
占冠,しむかっぷ,,トマム,21.3,新夕張,34.3,,,,,,,0,,
トマム,とまむ,,新得,33.8,占冠,21.3,,,,,,,0,,
新得,しんとく,,十勝清水,9.1,トマム,33.8,,,落合,28.1,,,0,,
